Year,New York,Amsterdam
1999,4.9625,1.28
2000,5.0167,1.13
2001,5.0303,1.26
2002,4.7506,1.21
2003,4.8614,1.25
2004,4.6108,1.17
2005,4.5248,1.06
2006,4.7757,0.78
2007,4.1715,0.87
2008,4.2893,0.91
2009,3.9966,0.93
2010,4.4753,0.86
2011,3.9433,0.85
2012,3.4889,0.86
2013,3.2698,0.74
2014,3.1192,0.73
2015,3.1042,0.61
2016,3.171,0.55
2017,2.8075,0.78
2018,2.8758,0.59
