Year,Borough,Crimes
2013,Kingston upon Thames,9470
2014,Kingston upon Thames,9582
2015,Kingston upon Thames,10089
2016,Kingston upon Thames,9538
2017,Kingston upon Thames,11493
2018,Kingston upon Thames,12386
2019,Kingston upon Thames,13235
2020,Kingston upon Thames,9624
2021,Kingston upon Thames,11841
2010,Lambeth,26899
2011,Lambeth,42474
2012,Lambeth,35922
2013,Lambeth,33067
2014,Lambeth,33093
2015,Lambeth,34538
2016,Lambeth,32711
2017,Lambeth,35001
2018,Lambeth,35116
2019,Lambeth,36315
2020,Lambeth,26291
2021,Lambeth,32287
2010,Lewisham,21678
2011,Lewisham,32417
2012,Lewisham,25328
2013,Lewisham,22885
2014,Lewisham,21842
2015,Lewisham,24289
2016,Lewisham,22885
2017,Lewisham,25134
2018,Lewisham,26121
2019,Lewisham,29196
2020,Lewisham,18054
2021,Lewisham,26892
2010,Merton,10981
2011,Merton,16732
2012,Merton,13692
2013,Merton,12005
2014,Merton,11914
2015,Merton,12659
2016,Merton,12173
2017,Merton,13810
2018,Merton,13831
2019,Merton,14531
2020,Merton,11500
2021,Merton,12926
2010,Newham,26440
2011,Newham,37417
2012,Newham,32748
2013,Newham,28601
2014,Newham,28826
2015,Newham,30279
2016,Newham,28719
2017,Newham,34577
2018,Newham,36074
2019,Newham,36343
2020,Newham,27651
2021,Newham,34235
2010,Redbridge,18003
2011,Redbridge,28935
2012,Redbridge,22917
2013,Redbridge,20461
2014,Redbridge,20317
2015,Redbridge,19562
2016,Redbridge,18685
2017,Redbridge,23456
2018,Redbridge,23571
2019,Redbridge,24190
2020,Redbridge,19373
2021,Redbridge,24132
2010,Richmond upon Thames,8924
2011,Richmond upon Thames,17274
2012,Richmond upon Thames,11923
2013,Richmond upon Thames,10758
2014,Richmond upon Thames,10717
2015,Richmond upon Thames,10739
2016,Richmond upon Thames,10593
2017,Richmond upon Thames,13240
2018,Richmond upon Thames,12718
2019,Richmond upon Thames,12947
2020,Richmond upon Thames,10375
2021,Richmond upon Thames,11055
2010,Southwark,27850
2011,Southwark,40223
2012,Southwark,32772
2013,Southwark,32278
2014,Southwark,29871
2015,Southwark,31214
2016,Southwark,30018
2017,Southwark,34140
2018,Southwark,35732
2019,Southwark,40121
2020,Southwark,27256
2021,Southwark,31917
2010,Sutton,9485
2011,Sutton,13864
2012,Sutton,11477
2013,Sutton,10366
2014,Sutton,10789
2015,Sutton,10877
2016,Sutton,10114
2017,Sutton,12063
2018,Sutton,12104
2019,Sutton,13967
2020,Sutton,10960
2021,Sutton,12909
2010,Tower Hamlets,21738
2011,Tower Hamlets,33646
2012,Tower Hamlets,11938
2013,Tower Hamlets,27539
2014,Tower Hamlets,26724
2015,Tower Hamlets,28600
2016,Tower Hamlets,28270
2017,Tower Hamlets,32048
2018,Tower Hamlets,33725
2019,Tower Hamlets,35439
2020,Tower Hamlets,26621
2021,Tower Hamlets,33349
2010,Waltham Forest,20956
2011,Waltham Forest,29960
2012,Waltham Forest,24445
2013,Waltham Forest,22645
2014,Waltham Forest,20891
2015,Waltham Forest,21650
2016,Waltham Forest,19744
2017,Waltham Forest,22813
2018,Waltham Forest,23713
2019,Waltham Forest,24252
2020,Waltham Forest,19880
2021,Waltham Forest,22499
2010,Wandsworth,19313
2011,Wandsworth,27027
2012,Wandsworth,26092
2013,Wandsworth,23085
2014,Wandsworth,22000
2015,Wandsworth,23226
2016,Wandsworth,22843
2017,Wandsworth,25334
2018,Wandsworth,25869
2019,Wandsworth,26383
2020,Wandsworth,20878
2021,Wandsworth,25568
2010,Westminster,48042
2011,Westminster,76778
2012,Westminster,63636
2013,Westminster,55729
2014,Westminster,49231
2015,Westminster,49037
2016,Westminster,46056
2017,Westminster,57232
2018,Westminster,63135
2019,Westminster,83037
2020,Westminster,42241
2021,Westminster,51126
