Country,Crime Index
Venezuela,84.25
Guyana,68.74
Brazil,67.85
Peru,66.61
Argentina,63.31
Colombia,55.77
Bolivia,55.39
Ecuador,54.41
Chile,52.08
Uruguay,51.22
Paraguay,48.97
