borough,year,violent_crimes
Newham,2011,5501
Newham,2012,5850
Newham,2013,5453
Newham,2014,6907
Newham,2015,8079
Newham,2016,8247
Newham,2017,8758
Newham,2018,9035
Newham,2019,9243
Redbridge,2010,2470
Redbridge,2011,3045
Redbridge,2012,3536
Redbridge,2013,3671
Redbridge,2014,4819
Redbridge,2015,5062
Redbridge,2016,5456
Redbridge,2017,5711
Redbridge,2018,6242
Redbridge,2019,6312
Richmond upon Thames,2010,1260
Richmond upon Thames,2011,1593
Richmond upon Thames,2012,1685
Richmond upon Thames,2013,1552
Richmond upon Thames,2014,1992
Richmond upon Thames,2015,2321
Richmond upon Thames,2016,2513
Richmond upon Thames,2017,2748
Richmond upon Thames,2018,2886
Richmond upon Thames,2019,2962
Southwark,2010,5257
Southwark,2011,5771
Southwark,2012,5507
Southwark,2013,5278
Southwark,2014,6471
Southwark,2015,7317
Southwark,2016,7712
Southwark,2017,7814
Southwark,2018,8688
Southwark,2019,8976
Sutton,2010,1540
Sutton,2011,2099
Sutton,2012,2328
Sutton,2013,2044
Sutton,2014,2670
Sutton,2015,3137
Sutton,2016,3115
Sutton,2017,3511
Sutton,2018,3617
Sutton,2019,4241
Tower Hamlets,2010,4273
Tower Hamlets,2011,4874
Tower Hamlets,2012,5607
Tower Hamlets,2013,5381
Tower Hamlets,2014,6389
Tower Hamlets,2015,7340
Tower Hamlets,2016,7682
Tower Hamlets,2017,7873
Tower Hamlets,2018,8603
Tower Hamlets,2019,8663
Waltham Forest,2010,3709
Waltham Forest,2011,4472
Waltham Forest,2012,4311
Waltham Forest,2013,4474
Waltham Forest,2014,5141
Waltham Forest,2015,5784
Waltham Forest,2016,6212
Waltham Forest,2017,6019
Waltham Forest,2018,6410
Waltham Forest,2019,6139
Wandsworth,2010,3375
Wandsworth,2011,3547
Wandsworth,2012,3485
Wandsworth,2013,3391
Wandsworth,2014,4548
Wandsworth,2015,5688
Wandsworth,2016,5633
Wandsworth,2017,6094
Wandsworth,2018,6652
Wandsworth,2019,6659
Westminster,2010,5403
Westminster,2011,7116
Westminster,2012,5958
Westminster,2013,5619
Westminster,2014,6946
Westminster,2015,8080
Westminster,2016,8657
Westminster,2017,9874
Westminster,2018,10248
Westminster,2019,11118
